date,score,model_id,rank,date_dt,days
2019-08-09,0.6187,VisualBERT,1,2019-08-09,0
2020-05-02,0.7012,UnifiedQA,1,2020-05-02,267
2021-02-05,0.6114,ViLT,3,2021-02-05,546
2022-01-27,0.7404,text-davinci-001,1,2022-01-27,902
2022-09-15,0.6753,OpenCLIP,3,2022-09-15,1133
2022-09-20,0.7517,CoT GPT-3 (ALE),1,2022-09-20,1138
2022-09-20,0.7461,CoT GPT-3 (AE),2,2022-09-20,1138
2022-09-20,0.7411,CoT UnifiedQA,3,2022-09-20,1138
2022-10-20,0.8929,Flan-T5-XL (LoRA),1,2022-10-20,1168
2023-02-02,0.8491,Multimodal-CoT_Base,3,2023-02-02,1273
2023-02-02,0.9168,Multimodal-CoT_Large,1,2023-02-02,1273
2023-03-28,0.8519,LLaMA-Adapter,3,2023-03-28,1327
2023-04-17,0.9092,LLaVA,3,2023-04-17,1347
2023-04-17,0.9253,LLaVA (GPT-4 judge),1,2023-04-17,1347
2023-05-05,0.9175,Mutimodal-T-SciQ_Base,3,2023-05-05,1365
2023-05-05,0.9618,Mutimodal-T-SciQ_Large 🥇,1,2023-05-05,1365
2023-07-24,0.9411,Enigma-COT_Large,2,2023-07-24,1445
2023-11-23,0.9488,MC-CoT_F-Large 🥈,2,2023-11-23,1567
2023-12-11,0.9439,Honeybee (Vicuna-13B) 🥉,3,2023-12-11,1585
2024-06-12,0.944,VisionLLM v2-Chat,3,2024-06-12,1769
