date,score,model_id,rank,date_dt,days
2025-04-05,0.2484,llama4-maverick-instruct-basic,1,2025-04-05,0
2025-04-14,0.3647999999999999,gpt-4.1,1,2025-04-14,9
2025-04-14,0.3038,gpt-4.1-mini,2,2025-04-14,9
2025-04-16,0.4857,o3,1,2025-04-16,11
2025-04-16,0.3811,o4-mini,2,2025-04-16,11
2025-04-29,0.3829999999999999,qwen.qwen3-235b-a22b-2507-v1:0,2,2025-04-29,24
2025-06-10,0.4967,o3-pro,1,2025-06-10,66
2025-06-17,0.4143,gemini-2.5-pro,3,2025-06-17,73
2025-08-07,0.4896,gpt-5,3,2025-08-07,124
2025-08-07,0.4989,gpt-5-pro,1,2025-08-07,124
2025-11-12,0.4932999999999999,gpt-5.1-thinking,3,2025-11-12,221
