date,score,model_id,rank,date_dt,days
2024-12-06,0.333,Llama-3.3-70B-Instruct,1,2024-12-06,0
2024-12-17,0.833,o1-2024-12-17_medium,1,2024-12-17,11
2025-01-20,0.694,DeepSeek-R1,2,2025-01-20,45
2025-01-21,0.528,gemini-2.0-flash-thinking-exp-01-21,3,2025-01-21,46
2025-01-25,0.667,qwen-max-2025-01-25,3,2025-01-25,50
2025-02-24,0.833,claude-3-7-sonnet-20250219_8K,2,2025-02-24,80
2025-03-05,0.833,chutes/QwQ-32B,3,2025-03-05,89
2025-04-16,0.889,o3-2025-04-16_medium,1,2025-04-16,131
2025-06-05,0.917,gemini-2.5-pro-preview-06-05,1,2025-06-05,181
2025-06-10,0.972,o3-pro-2025-06-10_medium,1,2025-06-10,186
2025-07-09,0.944,grok-4-0709,2,2025-07-09,215
2025-08-07,0.972,gpt-5-2025-08-07_medium,2,2025-08-07,244
